complaint_what_happened,ticket_classification
"i opened my chase account xx/xx/2017, i have been making the payment on time since 2017. last year, i had a minor xxxx and i was unemployed for six months, it kept me so behind on my bills since i didn't have a job. i explained this situation to many chase reps and asked them to help me with my financial crisis. i also asked them to waive the late fees and also reduce the interest charges because it's too hard to pay off with my situation. they refused to waive the late fees which is {$37.00} and also refused to waive the interest charges. now, my balance is {$9100.00} and i started my card with {$8300.00} limit. my minimum payment is {$1800.00} and it keeps showing on my credit report as a delinquent account. i spoke with many people and they all are helpless. they do not help at all on the other hand, xxxx xxxx really helped me out when i was in a same situation. 

i can not pay such a high amount because i don't make much and i am also an xxxx xxxx so it's super hard to pay off the whole balance.",Credit card or prepaid card + General-purpose credit card or charge card
"i have been in conflict with jp morgan chase bank about my note from washington mutual bank since the year xxxx. the federal deposit insurance corporation is enabling chase to use washington mutual bank as a straw beneficiary on default notices, well after xxxx xxxx, xxxx, the date it closed washington mutual bank. the county recorder records within the state of nevada are riff with default notices some of which have been fully enforced to foreclosure, where the trust beneficiary is represented as previously closed washington mutual bank. i have initiated a law suit in federal court as an effort for relief from chase 's and its affiliates fraudulent foreclosure against my wife and my home. as in the case of a score of other nevada homeowners, chase subjected us to a foreclosure after filing a default notice on xxxx xxxx, xxxx, representing washington mutual bank as the trust beneficiary. the case is identified as xxxx, case no. xxxx. the record consisting of our complaint and the summary judgment motion i filed just yesterday, is all that is required as document evidence exposing chase bank 's xxxx scheme. that involves use of default notices representing formerly closed washington mutual bank as the trust beneficiary. nevada leads the nation in foreclosures. there are two attachments to my summary judgment motion that reveals precisely the reason foreclosures are running rampant in nevada. the exhibits exposes the great deal of assistance the nevada judiciary lends to chase bank with its xxxx foreclosure scheme and use of washington mutual bank as trust beneficiaries on default notices. xxxx ( xxxx xxxx, xxxx ) explains precisely how the nevada judiciary participates in the xxxx scheme. the opinion itself illustrates just how far the nevada judiciary goes to defend banks that use fraudulent documents to foreclose. but it is the footnote of the opinion that explains how banks and like institutions get away with foreclosures through the use of fraudulent documents. after assuring the reader it does not condone or sanction fraud, the footnote amazingly precludes homeowners from raising fraud against documents produced by a bank/mortgage company at a mediation proceeding. but amazing, the preclusion, as shown by the footnote, extends to state court proceedings brought by an aggrieved homeowner from a mediation proceeding. the letters as attached exhibit xxxx of my summary judgment motion, is the pronouncement of the state 's administrator in charge of mediation of our being precluded from raising fraud and other criminal claims and defenses against chase during our mediation that was conducted on xxxx xxxx, xxxx. another thing : while violating xxxx xxxx. xxxx, impersonating a federal employee, a chase bank employee executed a corporate assignment instrument in favor of jp morgan chase bank, while representing herself as having been authorized by the fdic to do so. exhibit xxxx of my federal complaint, is the administrative claim i sent to the federal deposit insurance corporation. it alleges complicity on the part of the fdic in chase bank 's scheme. as in our case and a multitude of others, the fdic is knowingly enabling chase to use it as the source of acquisition of washington mutual notes, knowingly enabling chase to use washington mutual as trust beneficiary on default notices, while the fdic refuses to respond to homeowners who simply seek to validate or not chase bank 's fdic acquisition claim. 
on two prior occasions i have filed a complaint with the cfpb. i would conclude by stating chase should not only not be to big to fail, but also not so big as to operate above the law. the above documents very serious felonies cognizable in federal court as such. and again, my federal case and the record is all required",Mortgage + Conventional fixed mortgage
"i opened a new checking account with promotion offer from chase bank in xxxx, xxxx. i met the requirement in the offer but has not received the bonus of {$300.00} as advertised. i kindly request the bank honor the offer and pay the bonus.",Checking or savings account + Checking account
"we have been involved with a short sale negotiation chase for 6 months now. chase is the 2nd lien holder. they have "" inferred '' to us that the short sale has been approved for 2 weeks now. when asked directly for a firm answer about the approval, chase just states that they have a new process in place for producing the approval letters and it is "" taking longer '', however the chase representative will never say "" yes - this short sale has been approved ''. the overall sense is that chase is not being upfront and we really do n't have any idea what is happening at this point.",Mortgage + Home equity loan or line of credit
"xxxx university xxxx, nc i have started repayment on my chase student loans ( originated xxxx/xxxx/xxxx, xxxx/xxxx/xxxx and xxxx/xxxx/xxxx ) and am unable to afford the total amount due. today i learned that my payments have not been applying towards xxxx of the xxxx loans i have with chase, and my payment is expected to increase once again next month. i am not asking for forgiveness of the debt at all, i just need to reduce my minimum payments. i also want to file a complaint against how my payments have been applied for however long i have been repaying them, as chase told me today that the xxxx loan without payments has n't shown payment since xxxx xxxx.",Student loan + Non-federal student loan
"chase/ southwest credit card was intercepted and false charges made. card was cancelled by chase. new card sent, that card intercepted and false charges made. chase cancelled that card. per chase security, they received a call, that was recorded, requesting to change the pin number for the card. they did not allow it. i received a third card, different number via mail again. i called chase to verify receiving the card in the mail. was informed about above requested change in pin, they verified my voice on line to recorded voice used to try to change the pin. chase instructed me to destroy that card and sent out a new card via xxxx. i called and verified the card. also per their instructions made up a personal password for this card. i am xxxx yrs old, live with my daughter and was instructed to send this report to you.",Credit card or prepaid card + General-purpose credit card or charge card
"on xx/xx/2015 my wife and i were alerted by a chase alert that we had a very low balance in our checking account. on calling back, a chase representativeinformed us that chase had already advanced us money to pay off these checks. the account was frozen. on going to a chase branch on xxxx xxxx, 2015 we reviewed our account with the rep and noticed, besides the xxxx checks where someone fraudulently signed my name to people i do not know, a telephone transfer was made on xxxx xxxx which removed the money from the savings account and transferred the funds to our checking account. neither my wife nor i authorized the transfer nor were we aware that the transfer occurred. the rep investigated further and found that the only information provided, which allowed the transfer to occur, were the routing and checking account numbers and our names. we are submitting this claim against chase for allowing xxxx fraudulent checks to be cashed and a telephone transfer to occur without asking any security questions which my wife and i could have answered and the thief or thieves could not. we feel that if chase had been more vigilant, and asked the right security questions, this fraud would never happened.",Bank account or service + Checking account
"there are unknown hard inquiries on my credit reports. im requested the verification of the inquiries and the method of verification. on xx/xx/2019, xxxx xxxx, xxxx xxxx, onxx/xx/2019, xxxx xxxx-ny and on xx/xx/2019, xxxx - xxxx xxxx add a hard inquiries on my credit reports. 
but companies did not provide the following proof : permissible purpose my written authorization proof that i personally initiated these inquiries. 

to my knowledge, i have not signed any documents authorizing your organization to view my credit history therefore, your inquiry into my credit report violates the fair credit reporting act, section 1681b ( c ) : transactions not initiated by consumer.","Credit reporting, credit repair services, or other personal consumer reports + Credit reporting"
"myself and wife applied for a mortgage with chase in xx/xx/2019 during which we were in the processing of securing a property. after a long search, our offer was accepted in xx/xx/2019 for the xxxx property. we secured chase as our lender and deposited {$500.00} to lock our rate. the rate included lender credits on the points which we were really happy about. unfortunatley, the closing fell apart during attorney review as the seller  's attorney was not cooperating in providing the condo documents which would be required for chase. as such, we were aware that the {$500.00} would not be refundable. we continued to look for other properties and luckily we secured a 2nd property for which we returned to chase to resume the mortgage process shortly after xxxx. we spoke with xxxx for which he advised that the {$500.00} deposit would be refunded and they will try to ensure that we would have a similar deal to what we previously had. xxxx promised a call that following monday but he was unexpectedly out of office. we then spoke to a xxxx who ran our credit once again and gave us a rate which included points that we would pay. myself and my wife asked that to not have points. chase then went ahead and asked us to go to a competitor who can give us a better rate so that they can match it. i found this to be deceptive as i was promised by xxxx that they would do whatever they can to provide us what they originally did in the 1st property. after several emails my complaint was escalated to several individuals from an "" escalation department ''. all of them resorted back to the fact that due to the policy i would not be refunded. in addition, they made claims that i even went thru an appraisal which i did not! each representive i spoke to showed no lack of care and dismissed my reason to ask for the refund. furthermore, they said that if they refunded me, they would have to refund everyone else. they said they did not care about me closing my accounts with chase. i demand that someone from the executive team reach out to me to personally apologies and give me a full refund of {$500.00} due to the deceptive pratices by the chase home lending team.",Mortgage + Conventional home mortgage
"after applying for a xxxx xxxx credit card, all monthly payments have been made timely with the exception of one month 's payment. the most previous balance on my card increased by more than {$52.00} because of an interest fee, causing an issue with the payoff of the credit card. if the company continues to charge an exorbitant interest fees, i will never be able to pay off my credit card.",Credit card or prepaid card + Store credit card
"on xx/xx/xxxx i made a mobile deposit through the chase app at xxxx pacific time. chase states that xxxx pacific time is the cutoff for deposits to be available the next day. therefore funds would not be available for two days, until xx/xx/xxxx. my complaint is that if they consider anything after xxxx pacific the start of the following day, this random time should similarly be the cutoff after which pending funds should be credited. but it's not. because they held my money for literally two days i was then charged an insufficient funds fee of {$34.00} in another account.",Checking or savings account + Checking account
i use   xxxx   xxxx   to budget and avoid overdrafts and they depend on the bank to send updated balance and transaction information. the bank has been consistently and unacceptably slow at sending this information.,Checking or savings account + Checking account
"on xx/xx/18 i deposited a check into my chase checking account. 
this check is from my insurance company xxxx xxxx for {$10000.00}. this is being used for my home to which was destroyed by a tree falling on it. 
when i deposited the check, chase informed me they are holding it and it can not be cashed right away. 
i am disappointed being im a long time chase customer and its an emergency. the check is also a chase check, so i should be able to get the funds immediately after depositing considering its coming from their account.",Checking or savings account + Checking account
"i have made principal payments to chase which they did not apply to principal. rather, they said they considered it "" advance payments. '' i need these payments applied to principal retroactively. i have spoken to the executive branch there, have been promised return calls but have heard nothing. i need the proper principal amount as i have an arm and my monthly payment now is being calculated on a higher principal amount.",Mortgage + Conventional adjustable mortgage (ARM)
"from xx/xx/xxxx to xxxx did not receive any transcation through xxxx xxxx xxxx from senders. 
1. xx/xx/xxxx {$840.00} 2. xx/xx/xxxx {$19.00} 3. xx/xx/xxxx {$100.00} 4. xx/xx/xxxx {$5.00} 5. xx/xx/xxxx {$5.00} 6. xx/xx/xxxx {$91.00} 7. xx/xx/xxxx {$180.00} 8. xx/xx/xxxx {$18.00} 9. xx/xx/xxxx {$1.00} 10.  xx/xx/xxxx {$20.00} 11. xx/xx/xxxx {$150.00} 12. xx/xx/xxxx {$100.00} 13. xx/xx/xxxx {$150.00} i linked my email address as the primary xxxx account number since opening the chase account and never changed. but during that periodi did not receive any transactions from senders. howeveri received all the email from chase quickpay team.

i have called chase customer service many timesone of the represenstitive said my xxxx was under a different persons bank account and money was sent to him. other represenstitives told me to ask senders to cancel that transactionsbut all failed to cancel. 
it is so hard to call the customer servicei repeated the problem many timesbut not be solved.","Money transfer, virtual currency, or money service + Mobile or digital wallet"
chase bank sent these two letters in an attempt to verify two charge offs on my cr. these are not my accounts and i did not request a fraud investigation from chase bank. ( see attachments ). chase bank on this website stated they were not contacting me on my issue anymore however they are sending letters implying that im requesting a fraud inquiry. i have not contacted chase bank since xxxx by certified letter requesting removal of the charge offs. since that time chase bank has performed unrequested inquires and fraud investigations without my approval attempting to verify a debt thats not mine. the 3 cras are simply parroting inaccurate unverified information from chase bank. now i feel like im being harassed by chase bank who will not comply with the guidelines of the fcra in reference to inaccurate unverified information placed on consumers crs.,"Credit reporting, credit repair services, or other personal consumer reports + Credit reporting"
"contacted chase visa customer service on xx/xx/xxxx at xxxx, the chase credit card was declined without user authorization two days prior. this attempt to use the card 48 hours earlier was a fraudulent and unauthorized attempt to shop with xxxx. 

unfortunately, xxxx the vendor to which the attempted friday, xx/xx/xxxx : purchase failed, has not been contacted to date. that said, the basis for this additional complaint against chase visa and its customer service is the following. chase, continues to request for identifiers, that are nonstandard and have provided the follow-thru on chase-to-consumer callbacks as agreed upon during the customer service call. 

on sunday, xx/xx/xxxx chase declined to remove the unannounced fraud alert laced on the charge account. the female representative voice was recognizable its difficult say the she participated in the previous call to chase. question like do you know xxxx xxxx, former employers and addresses were again alarming.",Credit card or prepaid card + General-purpose prepaid card
"my father passed away, my husband passed away the my mother passed away. chasefinancial want me to pay for a home my mother stayed in for 2 years and continue to pay until her death. my mother lived in an undesirable area of xxxx nc. she wanted to move so we found her a condo. after about 2 years she could not live alone, so she lived with my husband and i. she continued to pay for her condo until she passed away xxxx xxxx, 2014. i send chase the death certificates for both my mother and husband. and explained i would not be able to pay for the home, because, both responsible parties had now passed away. they send me a entire packet to apply for a loan to transfer the mortgage into my name. i call them and was informed they could not talk with because i was not a responsible party on this loan. i received letter ever week and i would call they would say the same thing .the letters all say the estate of xxxx xxxx and the estate of xxxx xxxx xxxx . then all the calls started and i till the same thing on the phone. then the letters started coming with owner xxxx xxxx @ xxxx xxxx xxxx, xxxx nc xxxx. when my mother moved with her mailing changed mailing address to ours. the address for my mother was xxxx xxxx xxxx, same city. i wrote xxxx letters to chase, talked to so many people, but the end result is the same i can not pay for a property that is not mine. after all this talking xxxx xxxx bank called and said i owe over xxxx dollars on the overage account of my mother and me as a responsible party, after know she was dead the continued to take money out of the, because i was alive and no liability on chase 's account but on the bank. i can not afford a lawyer i live on a small amount of money. please help i know some about this is not right.",Mortgage + VA mortgage
"chase was asked to remove my data from their data matching program, stop levies against my account and property and stop participating in the child support collections activities for profit. ( please see letter dated xx/xx/2019 and please see attachments in pdf as uploaded 30 pages total. )",Checking or savings account + Other banking product or service
"i contacted multiple different mortgage companies to shop around for a mortgage on our new home. i already had chase accounts so i checked with them as well, i was told that i would receive xxxx bonus points on my chase freedom card, xxxx points on my chase sapphire preferred card and {$500.00} cash back in my checking account as a signing bonus once the mortgage closed. i was offered over {$2000.00} cash back with another local company but because i already had chase accounts and they offered something comparable i decided to start a mortgage with them based on their offers to me. the mortgage has closed and i have now not received the full offers that were made. i received the xxxx points on my chase freedom card and the {$500.00} cash back in my checking but not the xxxx points on my chase sapphire preferred card. i have contacted chase multiple times regarding this, have emails stating i would receive the points and have yet to receive them. i just spoke with chase resolutions and the gentlemen advised there was nothing he could do because they can only offer xxxx points to only 1 account. this is not what i was told and if i would have known this or had been told this i would not have gone with chase for my mortgage. these points are equal to {$500.00} in cash back or {$500.00} x 1.5 for travel and i would not have gone with chase if i was not offered these perks. they falsely advertised and are not willing to follow through with their offers.",Mortgage + Conventional home mortgage
"my ex wife xxxx xxxx applied for a student loan and added me as a cosigner without my consent or knowledge. once i became aware of this unauthorized account i filed a police report and contacted chase, initially chase requested copies of the police report which i submitted twice which they said they never received. a few weeks back i attempted to contact chase again, i submitted all paperwork which included copy of my driver license and my signature to show the signature on the application was not mine, they wrote me back asking that i get the paperwork notarized and resubmit which i did. they then responded by stating they find the account to be mine. i asked how did they come to this conclusion, what investigation method was used, but they failed to respond. i have asked my ex wife to please contact chase and claim sole ownership of this account, she said it not on her credit report therfore it does not concern her. i have never attended college and i have never applied for a student loan.",Student loan + Non-federal student loan
"my brother and i have a joint account with chase bank. my brother contacted chase to dispute one charge of {$310.00} from xxxx. xxxx and weeks passed by, i noticed a claim reversal of {$350.00} from xxxx was reversed back from a chase employee that we didnt authorize. then another day passed by, again, another claim reversal was reversed back of {$310.00}. my brother inquired to chase about the {$350.00} that wasnt authorized. a chase executive employee had open this case and it was accurate. my brother mentioned to the chase executive to listen to the media files of the conversation he had with the employee from the claim department. the chase executive confessed and stated my brother is correct and how the employee committed fraudulent activities, reversed back two charges instead of the one he inquired of {$310.00}. however, chase has not removed the unauthorized charge of {$350.00} that was reversed back. this caused my account to go into negative and insufficient fee occurred. i also noticed they reordered transactions from highest to lowest that was already posted to my account to cause excess overdraft fees. also, today, they took money of {$140.00} from another joint account i have with my mother to try to cover for the negative account i have with my brother. chase are endorsing fraudulent activities from employees and not taking accountability for their actions.",Checking or savings account + Checking account
"chase bank, never allowed me to modify my mortgage. 

i tried over 6 times, they lossed paper work etc. 

no matter what they say, they will justify, that they followed all the rules, and complied with all the laws, but they lie. 

over 12 chase bank executives have committed xxxx because of chase bank actions",Mortgage + Conventional home mortgage
"my xxxx is with chase who recently streamlined that loan, it is current to date. 
i took out a heloc ( arm ) with washington mutual in xx/xx/xxxx ( {$85000.00}. ) .have had struggles but still found ways to be pay on time ... have always been current until this year. 
mom passed away xx/xx/xxxx and separated my marriage xx/xx/xxxx ... finally divorced in xx/xx/xxxx ... 
i was told the only way i could qualify for a modification is if i was in the rears at least 2-3 months ... .so i let it lapse and set aside the money then after i was denied i went into chase to pay ( 90 days later ) they called the loan in full {$85000.00}. also put it down as a charge off ... messed up my credit to the point i could not qualify for an outside loan ... when they offered a settlement of {$30000.00} ... now they are saying if i do n't pay them $ xxxx.by xx/xx/xxxx. they will foreclose on my home. in which my college student, daughter and i have lived here for 11 years..i am a proud single dad ... .i feel this was a bad loan from washington mutual in the beginning after i got more information on preditory lending and false securities, etc ... also, during this process i was harrassed daily with phone calls even though i told them i would try to get the money ( {$30000.00} ) ... ..they also refused, to work with me after the deadline..said they would only speak with my atty. they were soo rude ( xxxx xxxx ) of chase recovery dept. ( especially )",Mortgage + Home equity loan or line of credit
"i submitted a balance transfer request from my cc account with xxxx xxxx to my chase freedom cc in early xxxx. the transfer was processed on xx/xx/xxxx but the transfer amount was sent to the wrong account and my xxxx card was never credited. i called on xx/xx/xxxx to notify chase that i had not received the credit to my other credit card and was now carrying two balances. they informed me it could take up to 30 days to rectify but likely less than that. i have contacted chase twice since the initial contact. each time i am told they can not help me and someone is working on it. however, 30 days has passed and i have yet to receive a resolution and am now paying for twice the cc balance due to their unwillingness to cancel the transfer or rectify the situation. i am currently looking into what legal recourse i can pursue in order to reclaim the {$8400.00}.",Credit card or prepaid card + General-purpose credit card or charge card
"i am currently in a chapter xxxx bankruptcy. the chapter xxxx trustee has paid money to my mortgage, but the money is still sitting in a suspense account. the mortgage comapny will not allow the funds to be applied to the loan, nor will they let me make a payment to get the amount to a full payment so that it can be applied. i have about a year and a half left in my bankruptcy, so chase will continue to earn interest off of the money i 've paid in through the bankruptcy, puls i 'll be paying extra interest on my mortgage for that entire time.",Mortgage + FHA mortgage
"on xx/xx/xxxx my xxxx account was hacked and i was billed for a xxxx   xxxx, for {$590.00}. i immediately disputed the charge with chase bank and xxxx. however, after no investigation, where all chase got was the statement that the billing address and shipping address matched and therefore it was a valid charge. 

i never authorized the charge and it seems like chase did little to no investigation.",Credit card or prepaid card + General-purpose credit card or charge card
