complaint_what_happened,ticket_classification,processed_text
On the dates of XX/XX/XXXX toXX/XX/XXXX. The transactions seemed not timed well and alerts seemed delayed at times again. This seems to happen around the XXXX to XXXX or so of every month at times. I would love to see smooth transactions. It is almost as if one individual at Chase is consistantly touching on my account to cause fault. Hopefully Chase can trace its employees actions if unusual. If it can happen at XXXX it can happen to a customer.,Checking or savings account + Checking account,date  to time time month time transact chase consist account caus fault hope trace action unusu custom
"Chase Auto Finance - I took a loan out in XX/XX/XXXX. My mother was the primary and I was the co-signer on the loan. I made every payment on this loan and all payments were made on time. In XX/XX/XXXX, my mother passed away. I called Chase Auto Finance in XX/XX/XXXX, several times trying to find out what I needed to do to get the loan into my name only as my credit score was above a 680 and I had made all payments on the loan. The reps I spoke with transferred me to the probate department. They advised that they would be sending me documents to fill out and return. I never received the documents and made several attempts to speak to someone again concerning this over e next several months. I continued to make all payments on the loan. In XX/XX/XXXX, I applied for a loan to purchase a house and when I got my credit report, it showed my loan with Chase Finance as paid in full as of XX/XX/XXXX. It also showed the account as being closed. On XX/XX/XXXX, I contacted Chase Auto Finance via secure messages through their website and advised the situation and wanted to know why the credit reporting had stopped, had the loan been paid off through insurance, etc. and why was the loan showing as paid in full when I had still been making payment every month since XX/XX/XXXX. Chase Auto Finance replied back stating that a Service Specialist would call me with 72 business hours. I then received a letter in the mail dated XX/XX/XXXX, that stated, "" We confirmed that we are unable to report your account information to the consumer reporting agencies at this time. '' I emailed Chase Auto Finance back on XX/XX/XXXX, and advised that a no one ever called me concerning my email, the letter was a joke as it did not answer any questions that I had and stated something I clearly already knew, that they were not reporting to the credit agencies. I received a reply stating that they did call on XX/XX/XXXX, ( not 72 business hours from my inquiry ) and were unable to leave a voicemail. I replied back and advise that was untrue as I have had the same phone and number for well over 10 years and never had any issues with voicemail and I looked back at my call log and no one from Chase Auto Finance called on XX/XX/XXXX. I received a reply back again stating that a Senior Service Specialist would call me back in 72 business hours. At this time that this all occurred, I was down to making the last 3 payments, XX/XX/XXXX, XX/XX/XXXX and XX/XX/XXXX. The loan would have been paid in full. I advised Chase Auto Finance in my XX/XX/XXXX, email that I would not make another payment until this matter was resolved. In XX/XX/XXXX, their Collections Department did start making calls and I have spoken to the agents and no one has assisting in any manner. One agent did send the documents to get the title once loan is paid in full into just my name and my deceased mother 's name taken off. I did make another payment on XX/XX/XXXX. Please assist me in getting the credit reporting corrected as well as finding out whether Chase Auto Finance owes me the payments that have been made on this loan since XX/XX/XXXX. This has caused a lot of stress and negative credit when I am trying to purchase a home.",Vehicle loan or lease + Loan,auto financ loan mother loan payment loan payment time  pass auto financ  time tri get loan name credit score payment loan transfer probat depart advis document fill return document sever attempt speak someon concern month payment loan  loan credit report loan chase financ  account  contact auto financ websit situat credit report loan insur loan show payment month sinc auto financ repli state specialist hour letter mail date  state report account consum report chase auto financ concern email letter joke question state report credit agenc state call  hour inquiri unabl voicemail untru phone number year look log chase auto financ call receiv repli state specialist busi hour time payment loan auto financ  email payment matter resolv  call assist manner agent document loan name mother name payment  credit report auto financ payment loan sinc caus lot stress credit tri home
"To whom it may concern : I am filing this complaint against Chase Bank as I have been attempting to resolve a matter concerning an ACH withdrawal from my XXXX XXXX XXXX XXXX ( "" XXXX '' ) in the amount of {$140.00} which apparently was transferred to a wrong Chase account. As a result, I have been dealing with this situation for three months with no resolution. As the chain of events are read, I 'm perplexed as there is no process in place for situations like this. I 'm certain I 'm not the first or will be the last person to be faced with this issue. Additionally, I realize the amount is minimal but at this point it 's the principle of not having a process in place and someone other than my son received {$140.00}. 
Chain of Events : 1. Took advantage of the process to send my son money ( a XXXX who resides in XXXX ) from my XXXX account to his Chase checking account via the XXXX XXXX vendor ( which was solicited through accessing my XXXX account ). This amount was for {$140.00} and sent on XXXX/XXXX/2016. The funds were immediately debited from my account. 
2. My son accepted the transfer and completed a profile with XXXX XXXX to complete the process. 
3. My son and I received notification the funds were available as of XXXX/XXXX/2016. However, when my son checked his account, the funds were never transferred as confirmed. 
4. I contacted XXXX advising of the issue and was advised the funds were successfully transferred, to wait a few more days, and call back if the funds are yet to be transferred. 
5. I waited and no transfer to my son 's Chase account. I called XXXX back and was advised I needed to contact Chase with tracking number, XXXX to see if they could track where the funds transferred. 
6. My son and I called Chase on a conference call and explained the situation, the representative confirmed the funds did not transfer and advised they could n't help. The representative suggested to file a claim with my bank ( XXXX ). I advised I took those actions already hence the reason for the call. The representative laughed and advised I must be clear on advising my bank I need to file an ACH claim. 
7. I called XXXX again and advised of the situation. I was then advised there was absolutely nothing they could do and I needed to call the vendor for resolution. 
8. My son and I called the vendor on a conference call and was advised they could n't assist with a resolution and I needed to call my bank and/or Chase. I advised both actions were taken hence the reason we are contacting them. The representative then advised they would attempt to look into it but unlikely they 'd be able to assist. 
9. My son nor I heard back from the vendor as advised, so I decided to send an online inquiry to XXXX requesting to open an ACH claim as I 've been going back and forth with all parties with no resolution. 
10. After several online inquiries, XXXX submitted a claim with the vendor for further research. 
11. A month went by without a response or resolution. I sent another online inquiry to XXXX and received a response indicating there was nothing the vendor could do and I needed to contact Chase for resolution. I advised again that my son and I went down that route with no resolution. The XXXX representative working my claim attempted to contact Chase directly but was advised there was nothing they could do unless possibly my son, myself, XXXX and Chase are on a conference call. I advised at this time with my son 's and my schedule it would be too challenging to attempt to coordinate such a call. Also, I 've spent too much time already attempting to resolve this matter with all parties as suggested. 
Which brings me to this point of writing a regulatory complaint for further review/resolution as I believe there should be a more efficient process and/or a process created to alleviate future cases for other customers.",Bank account or service + Checking account,concern file complaint chase bank attempt matter concern amount appar transfer chase account result deal month resolut chain event read process place situat person face issu addit realiz amount point principl process place someon son chain event advantag process son money resid   account check account vendor access account amount fund debit account son accept transfer complet profil complet process son receiv fund avail howev son check account fund confirm contact advis issu advis fund success transfer day fund wait transfer son chase account call need contact track number see fund transfer son call chase confer call explain situat fund transfer advis file claim bank action alreadi henc reason call advis bank ach claim call advis situat vendor resolut son call vendor confer call advis bank chase action reason contact assist son vendor advis inquiri  request ach claim ve resolut onlin inquiri submit claim vendor research month inquiri receiv vendor resolut advis son resolut claim attempt contact chase advis son chase confer call time son schedul call time attempt resolv matter parti point complaint review/resolut believ effici process and/or process creat allevi futur case custom
"I work for my family business and was given checks to deposit into my own account as it is my wage. I showed the bank the paystubs, w2, and payroll register of the company to show that the checks were written to me and verified by both the owner and CPA. Chase however decide to restrict my account and took my money for both the check deposit, cash deposit on ATM and all my money in the account. I use that account to pay bills and now i am unable to pay bills because they thought the checks were fraudulent. I have went to branch to clear this out but it was no help. 

XXXX in check on hold and {$1400.00} cash on hold from atm deposit that was a loan from a family so I can pay mortgage for this month. 

Total balance on lock is {$6400.00}.",Checking or savings account + Checking account,work famili deposit account wage bank paystub w2 payrol regist compani show owner cpa decid restrict account money check deposit cash deposit money account use account pay bill pay bill fraudul branch help check cash deposit loan pay month balanc lock
"On XX/XX/2019 contact Chase Bank to inquire about reopening a new account. I was told I needed to clear an amount that was in collections, then I could proceed. I paid the disclosed amount, and the rep, Mr. XXXX noted my profile, and told me that I was still eligible to bank with Chase, and could open a new account at my leisure. I stopped by my local branch on XX/XX/XXXX, and scheduled an appointment to open my new account for XX/XX/XXXX. I opened my new accounts at the branch with a truly amazing banker named Ms XXXX. The next day I also opened a Finn account for use when I travel locally and abroad. I also opened a U Invest account for investing on XX/XX/XXXX. On XX/XX/XXXX I stopped by a branch in XXXX Florida to make a cash deposit at the ATM machine, and the transaction was denied multiple times. I called customer service to check on this, and was transferred to their Loss prevention dept. I was shocked to find out that all my accounts were restricted, and the rep I talked to told me they were going to be closed, and she had no valid reason that she could provide. She also said I could NEVER open any accounts with Chase again. She apologized, and said Chase decided to close the accounts, and that was that. This is unacceptable. I can not condone or overlook this type of discrimination. There was no strange or irregular activity on any of my accounts. Chase extended even extended an invitation to restart our financial relationship. I do not appreciate the way Chase has treated me.",Checking or savings account + Checking account,contact chase bank inquir account amount collect disclos amount rep note profil bank chase account leisur branch appoint account account branch truli amaz banker name ms day finn account travel account  branch cash deposit atm machin deni multipl time custom check loss prevent dept shock account restrict rep talk reason account chase apolog chase decid account type discrimin activ account chase restart financi relationship way treat
"I was a cardholder of the Chase XXXX XXXX Rewards Visa XXXX credit card in XX/XX/XXXX-XX/XX/XXXX. This card came with a sign up bonus of three XXXX XXXX ( tier 1-4 ) free nights which I earned in XX/XX/XXXX. The nights can be used for the following year. During the year of XX/XX/XXXX, however, I experienced a series of health issues which prohibited me from traveling. I was in bed rest in almost the entire year, and I had a XXXX in XX/XX/XXXX. 

This credit card had a {$450.00} annual fee for the 1st year which increased to {$550.00} at renewal in XX/XX/XXXX. Given my health condition, I called Chase and XXXX XXXX Customer Services ( CS ) in early XX/XX/XXXX to discuss my situation. Chase confirmed my free nights should still be fine if I closed my credit card. XXXX XXXX responded that they would be willing to extend the free nights for me, but I need to call them again when those free nights are about to expire since their system doesnt allow them to extend the nights too early. 

Given the advices I got from Chase and XXXX XXXX, I closed my credit card afterwards. On XX/XX/XXXX, I called XXXX XXXX to extend the nights but only to be shocked that they said unable to do so since my credit card was canceled in XX/XX/XXXX. That was not my understanding from before from Chase or ever brought up when I first discussed with XXXX XXXX. Even the rep didnt realize the system requires the credit card. After talking with numerous people, a CS manager suggested me calling XXXX corporate office. I did, but after checking with his manager, the rep told me XXXX XXXX would not honor the bonus since that was part of Chase credit card promotion. 

Last month, I retrieved a copy of the Chase credit card terms. Clearly it does not say the free night bonuses require an active credit card. I then contacted Chase Executive Office. But after one month of research, the rep ( XXXX ) told me now there is nothing Chase can do but I should go back to talk to XXXX XXXX since Chase never took the bonus nights away after I closed my card. It was XXXX XXXX 's problem. 

This is an unbelievable example of how a customer can be misdirected, ripped off and unfairly treated by big companies like Chase and XXXX XXXX due to their own misunderstanding, miscommunications and misleading advice. This is not acceptable.",Credit card or prepaid card + General-purpose credit card or charge card,chase reward visa credit card - card bonus  night earn night use year year  howev health issu prohibit travel bed rest year credit card fee year renew health condit chase custom servic cs discuss situat night credit card respond night night expir sinc system extend night earli credit card  night shock sinc credit card cancel understand chase discuss system credit card peopl cs manag call  corpor offic check manag rep bonus part chase credit card promot month chase credit term night bonus requir activ credit card execut offic month research rep chase talk  sinc chase bonus night card problem custom misdirect treat chase misunderstand advic accept
"I received an email from someone within my institution about a XXXX XXXX XXXX XXXX   opportunity ( I found out after the fact that their account was compromised due to phishing ). I applied for the job and received an email from XXXX XXXX ( XXXX ), as well as a text ( XXXX ) letting me know that I was accepted. I then received a packet in the mail on XX/XX/20, with which I was provided cashier 's checks from XXXX XXXX XXXX XXXX totaling {$2900.00}, which I was to deposit in my checking account before completing my task. The instructions were to go to the nearest XXXX XXXX and purchase two {$1200.00} gift cards and fill out a survey on my store experience. My compensation would be the difference in what I was paid and what I purchased in gift cards. I also received a follow-up call from this man afterwards, who asked me about my experience at the store and seemed very nice on the phone. After following the instructions of sending the codes on the backs of the gift cards to the phone number ( XXXX ) and email address ( XXXX ), I was then asked to send a cashier 's check and money order donation to the XXXX XXXX XXXX -- which I have not done, now that I know this was a scam. 
As a result, the checks bounced, I was charged {$36.00} in fees from Chase Bank for these checks, and I am out the {$2500.00}, which Chase is not willing to help with. 
I have filed several reports, contacted the XXXX XXXX, and notified the Federal Trade Commission, none of which were able to do much to help me recover the funds or solve the issue. But I wanted to make as many organizations aware of this fraudulent scheme as possible. This man is claiming to be with XXXX XXXX ( a legitimate secret shopping/market research company ). I also filed a police report with XXXX XXXX, IL Police Dept ( # XXXX ) at ( XXXX ) XXXX.","Money transfer, virtual currency, or money service + Traveler's check or cashier's check",receiv email someon opportun fact account compromis phish job receiv    let mail 20 cashier check check account complet task instruct   gift card fill survey store experi gift card call man afterward store phone instruct send code card phone number email address  cashier check money order donat scam result check bounc fee bank check chase report feder trade commiss none help fund solv issu mani fraudul scheme possibl man claim secret shopping/market research compani report dept  
"Hi, I have a Chase credit card just one. I havent used it in a while. It had a credit on it and every month Id get a statement in the mail telling me that I owe nothing and there is a credit. I thought the ethical thing to do was to call and have them issue me a check for the credit amount. They did. I brought the check to Chase and they wouldnt cash it, ostensibly because I have no checking account at Chase Bank. I dont, thats true. All I have is a credit card, which I dont use. So, basically, I received an uncashable check from them. It would cost me more to open a checking account at Chase than the check is worth. 
Just thought consumers should be aware of this practice.",Credit card or prepaid card + General-purpose credit card or charge card,hi credit card havent use credit month id statement mail tell credit thing call issu check credit amount check chase wouldnt cash check account bank dont credit card dont use check check account chase check worth consum practic
"I was the "" sole borrower '' of the student loans for my children 's XXXX colleges, for the amount of ~ {$130000.00}, which has been "" approved '' for discharged on XX/XX/2020, due to my XXXX-XXXX, by the Department of Education DOE. 

In addition, my children were the "" borrowers '' of an additional ~ {$100000.00}, for their XXXX colleges. I was their "" co-signer '' Their XXXX student loans are being deferred on a year-by-year basis, until they complete their XXXX schools. They will be completing their XXXX degrees in 2 years. 

DOE informed me that it could yet approve the discharge that portion of the student loans, for I am the "" co-signer '', not the "" borrower ''. Unless, my children can not repay back their XXXX student loans, upon completing their XXXX  degrees, ( XXXX pursuing to be a XXXX  '', XXXX pursuing to be a XXXX XXXX ). 

Today, my children 's XXXX student loans require no payments. In the next 2 years, my children 's XXXX student loans require no payments. In my opinion, when my children complete their XXXX  degrees, they will be able to repay their XXXX student loans payments Only in the events that my children can not repayment their student loans after 2 years, then, as a "" co-signer '', I shall assume that liability of their XXXX student loans. 

DOE informed me that I am eligible for approval for their XXXX-XXXX, for then, I become the "" sole borrower '', thus eligible-by-similarity for prior student loans discharge for "" XXXX-XXXX Today, Chase is using that against me, calculating that payments, into my application for "" home refinance '', thus disqualify me for lower interest rate.",Mortgage + Conventional home mortgage,borrow student loan  colleg amount 2020 depart educ doe addit colleg student loan basi complet school complet degre year doe inform portion student loan student loan complet degre pursu  today student loan payment year student loan payment opinion degre repay student loan payment event student loan year student loan inform elig borrow student loan today chase use payment home refin interest rate
"I opened a XXXX XXXX credit card to help give me more time to pay off my Chase card. I initiated several balance transfers that went through, the third one resulted in a new balance on my XXXX XXXX card, but that same balance never came off of my Chase card. It has now been nearly two months and Chase claims to have never received the payment, while XXXX XXXX claims the check they sent was cashed a week later. This has resulted in me being unable to use my Chase card and now unable to even make the minimum payment. I essentially have been screwed into having the same balance on XXXX cards. While XXXX XXXX agreed to file a claim disputing the charge, in the meantime this has been hugely detrimental to my financial wellbeing and I will likely be unable to pay in time to prevent the Chase card being closed. This is a massive disaster that would not have occurred had either side stepped up in time to resolve this issue. They both shifted blame elsewhere and left me in the lurch even though it was not my fault, I followed the same procedure as before and they confirmed that the info I provided was 100 percent accurate.",Credit card or prepaid card + General-purpose credit card or charge card,credit card time pay card balanc transfer result balanc  card balanc card month chase claim payment claim check cash week use card payment balanc card agre file claim disput charg meantim detriment financi wellb pay time chase card massiv disast step time issu shift blame fault procedur confirm info percent accur
